brawler,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35,rank_36,rank_37,rank_38,rank_39,rank_40,rank_41,rank_42,rank_43,rank_44,rank_45,rank_46,rank_47,rank_48,rank_49,rank_50,released,star_power_1,gadget_1,star_power_2,gadget_2,hypercharge,buffies
Chuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,B,C,B,B,C,C,C,C,D,C,D,D,F,D,10/18/23,10/18/23,10/18/23,10/18/23,10/18/23,07/24/25,
Pearl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,B,C,A,B,C,B,B,B,B,B,B,D,C,C,C,09/11/23,09/11/23,09/11/23,09/11/23,09/11/23,09/11/23,
Charlie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,A,S,S,A,C,B,C,D,B,A,A,B,B,B,11/06/23,11/06/23,11/06/23,11/06/23,11/06/23,11/06/23,
Larry & Lawrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,S,B,A,A,A,A,A,B,B,B,A,A,B,02/01/24,02/01/24,02/01/24,02/01/24,02/01/24,10/13/25,
Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,F,A,S,A,B,B,A,A,B,S,B,B,C,01/04/24,01/04/24,01/04/24,01/04/24,01/04/24,07/24/25,
Mico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,A,C,C,C,C,D,C,C,C,D,C,F,D,12/14/23,12/14/23,12/14/23,12/14/23,12/14/23,12/14/23,
Angelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,A,A,A,A,A,A,A,A,A,A,A,03/07/24,03/07/24,03/07/24,03/07/24,03/07/24,06/25/24,
Melodie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,A,B,B,A,A,A,A,B,A,B,B,04/04/24,04/04/24,04/04/24,04/04/24,04/04/24,12/10/24,
Lily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,S,A,B,B,C,C,A,A,A,A,A,05/02/24,05/02/24,05/02/24,05/02/24,05/02/24,05/01/25,
Draco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,C,C,B,B,C,S,A,B,B,C,06/06/24,06/06/24,06/06/24,06/06/24,06/06/24,07/03/25,
Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,B,B,A,S,A,B,B,B,B,B,07/04/24,07/04/24,07/04/24,07/04/24,07/04/24,12/10/24,
Clancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,B,C,F,D,C,F,F,D,08/01/24,08/01/24,08/01/24,08/01/24,08/01/24,05/01/25,
Moe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,C,D,B,C,B,A,A,A,09/05/24,09/05/24,09/05/24,09/05/24,09/05/24,07/24/25,
Kenji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,S,A,A,S,A,A,B,B,A,10/03/24,10/03/24,10/03/24,10/03/24,10/03/24,05/01/25,
Juju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,A,A,A,B,S,A,A,11/07/24,11/07/24,11/07/24,11/07/24,11/07/24,10/13/25,
Shade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,A,C,B,S,A,A,A,A,12/05/24,12/05/24,12/05/24,12/05/24,12/05/24,07/03/25,
Meeple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,A,A,B,C,S,S,A,02/06/25,02/06/25,02/06/25,02/06/25,02/06/25,10/13/25,
Ollie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,S,A,B,S,B,B,B,02/06/25,02/06/25,02/06/25,02/06/25,02/06/25,09/11/25,
Finx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,A,S,S,A,A,03/06/25,03/06/25,03/06/25,03/06/25,03/06/25,09/11/25,
Lumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,S,S,A,B,B,C,04/03/25,04/03/25,04/03/25,04/03/25,04/03/25,07/03/25,
Kaze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,A,A,A,06/05/25,06/05/25,06/05/25,06/05/25,06/05/25,06/05/25,
Jae-yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,A,B,C,05/01/25,05/01/25,05/01/25,05/01/25,05/01/25,10/13/25,
Alli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,C,B,B,B,07/03/25,07/03/25,07/03/25,07/03/25,07/03/25,10/28/25,
Trunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,B,B,B,08/28/25,08/28/25,08/28/25,08/28/25,08/28/25,09/11/25,
Mina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,09/28/25,09/28/25,09/28/25,09/28/25,09/28/25,10/28/25,
Ziggy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,F,B,B,11/06/25,11/06/25,11/06/25,11/06/25,11/06/25,11/06/25,
Gigi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,D,12/04/25,12/04/25,12/04/25,12/04/25,12/04/25,12/16/25,
Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,S,01/01/26,01/01/26,01/01/26,01/01/26,01/01/26,,
Glowbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,S,02/05/26,02/05/26,02/05/26,02/05/26,02/05/26,,
Sirius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,03/05/26,03/05/26,03/05/26,03/05/26,03/05/26,03/05/26,
Najia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,
